hostility_set1,identity_set1,hostility_set2,identity_set2,hostility_set3,identity_set3,llm_d1,llm_i1,llm_d2,llm_i2,llm_d3,llm_i3,llm_d4,llm_i4,set1,set2,set3
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_G,H_G,N_No,N_No,H_No,H_No,H_No,H_No,H_No,N_No,N_No
2,4,2,4,2,4,H_G,H_G,N_No,N_No,H_No,H_G,H_No,H_No,N_No,N_No,N_No
2,4,1,4,1,4,H_G,H_Re_G,N_No,H_G,H_G,H_No,H_No,H_G,N_No,H_No,H_No
1,2,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_G,N_No,N_No
2,4,2,4,2,4,H_G,H_Re_G,N_No,H_G,H_G,H_G,N_No,N_No,N_No,N_No,N_No
2,4,1,2,1,2,H_G,H_Re_G,H_No,H_Re,H_G,H_G,H_No,H_G,N_No,H_G,H_G
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_Ra,H_Re_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,1,4,1,4,H_No,H_Ra,H_No,N_No,H_No,H_No,N_No,H_No,H_No,H_No,H_No
1,2,2,4,2,4,H_G,H_Re_G,H_G,N_No,H_No,H_No,H_No,H_No,H_G,N_No,N_No
1,2,1,4,1,4,H_G,H_Re_G,H_G,H_G_Ra,H_G,H_No,H_G,H_G,H_G,H_No,H_No
1,4,1,2,1,2,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_G,H_G
1,4,1,2,1,2,H_G,H_G_Ra,H_G,H_G,H_G,H_G,H_G,H_G,H_No,H_G,H_G
2,4,1,4,1,4,H_Ra,H_Re,N_No,N_No,N_No,H_No,N_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_Re_G,H_Ra,H_Re_G_Ra,H_No,H_No,H_G,H_G,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,3,2,4,2,4,H_G,H_G,H_G,H_G,H_G,H_G,N_No,N_No,H_Ra,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,3,1,3,H_Ra,H_Re_Ra,H_Ra,H_No,H_No,N_No,H_No,H_No,N_No,H_Ra,H_Ra
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_G,H_No,N_No,H_No,H_No,H_No,H_G,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,2,2,4,2,4,H_No,H_Re_G,N_No,N_No,H_No,H_No,H_No,H_No,H_G,N_No,N_No
1,4,2,4,2,4,H_Ra,H_Re_G_Ra,H_Ra,N_No,H_No,H_G,H_No,H_Ra,H_No,N_No,N_No
2,4,1,2,1,2,H_G,H_G_Ra,H_G,H_G,H_G,H_G,H_G,H_G,N_No,H_G,H_G
1,4,1,4,1,4,H_G,H_Re_G,N_No,N_No,H_No,N_No,N_No,N_No,H_No,H_No,H_No
2,4,2,4,2,4,H_G,H_G,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_G,H_Re_G,N_No,N_No,N_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,H_G,H_G,N_No,N_No,H_No,H_G,N_No,H_No,H_No,N_No,N_No
2,4,1,4,1,4,H_No,H_No,N_No,N_No,N_No,N_No,H_No,H_No,N_No,H_No,H_No
1,4,1,4,1,4,H_No,H_G,H_No,N_No,H_No,H_No,H_No,H_No,H_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,4,1,4,H_G,H_Re_G_Ra,H_G,N_No,H_No,H_No,H_No,H_G_Ra,N_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_Re_G_Ra,H_No,H_G,H_G,H_G,H_G,H_G,N_No,H_No,H_No
1,2,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_G,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,2,1,2,H_G,H_G_Ra,H_G,H_G,H_No,H_G,H_G,H_G,N_No,H_G,H_G
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,1,4,1,4,H_Ra,H_Re_G_Ra,H_No,N_No,H_No,H_Re_G_Ra,H_No,H_No,H_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_Ra,H_No,H_No,N_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_Ra,H_G,N_No,N_No,N_No,N_No,N_No,H_No,H_No,N_No,N_No
1,4,2,4,2,4,H_G,H_Re_G,N_No,N_No,H_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
1,4,1,4,1,4,H_G,H_G,H_No,H_No,H_No,H_No,H_No,H_Ra,H_No,H_No,H_No
2,4,1,4,1,4,H_G,H_G_Ra,N_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_G,H_G_Ra,H_G,H_Re_G,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,2,4,2,4,H_G,H_G_Ra,N_No,N_No,H_No,H_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,4,1,4,H_No,H_Re_G,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,3,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_Ra,H_No,H_No
1,4,2,4,2,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,3,1,3,H_G,H_G,N_No,H_No,H_No,H_No,H_No,H_No,H_No,H_Ra,H_Ra
1,4,1,4,1,4,H_No,H_G,H_No,H_No,H_No,H_No,H_No,H_No,H_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_G,N_No,H_No,H_No,H_No,N_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_No,N_No,N_No,N_No,N_No,H_No,H_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_G,H_Re_G,H_No,N_No,H_No,H_No,N_No,H_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_No,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,2,2,4,2,4,H_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No,H_G,N_No,N_No
2,4,1,4,1,4,H_G,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,1,2,1,2,H_G,H_G,H_G,N_No,N_No,H_No,N_No,N_No,H_No,H_G,H_G
1,4,2,4,2,4,H_Ra,H_Re_Ra,H_No,H_No,H_No,H_No,H_No,H_No,H_No,N_No,N_No
1,4,1,4,1,4,N_No,H_No,N_No,N_No,N_No,H_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_G,H_G,H_G,H_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_G,H_G,H_No,H_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,H_G,N_No,N_No,N_No,N_No,N_No,H_No,H_No,N_No,N_No
2,4,2,4,2,4,H_G,H_G_Ra,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_Re_Ra,N_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,1,4,1,4,H_G,H_G_Ra,N_No,N_No,H_No,H_No,N_No,H_No,H_No,H_No,H_No
1,4,2,4,2,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,H_G,H_Re,N_No,N_No,N_No,H_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_G,H_G_Ra,H_No,N_No,H_G,H_G,H_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_Re_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
1,2,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_G,N_No,N_No
2,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,1,2,1,2,H_G,H_Re_G_Ra,H_G,H_G_Ra,H_G,H_G,H_No,H_G,H_No,H_G,H_G
1,4,2,4,2,4,H_No,N_No,H_No,N_No,H_No,H_No,N_No,H_No,H_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_G_Ra,H_G,H_Ra,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,N_No,H_Re,N_No,H_No,N_No,H_No,N_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,H_G,H_G,N_No,N_No,N_No,H_G,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,H_Re,H_No,H_No,N_No,H_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_G,H_Re_G,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_G,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_G,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_G,H_G_Ra,H_G,H_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_G,N_No,N_No,H_No,H_No,H_No,H_G,N_No,N_No,N_No
2,4,2,4,2,4,H_Ra,H_G_Ra,N_No,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_No,H_No,N_No,H_No,H_Ra,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_Ra,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_G_Ra,H_No,H_No,H_No,H_No,H_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,3,2,4,2,4,H_No,H_Ra,H_No,H_No,H_No,H_No,N_No,H_No,H_Ra,N_No,N_No
2,4,2,4,2,4,H_Ra,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,1,3,1,3,H_Ra,H_Re_Ra,H_Ra,H_Re_Ra,H_Ra,H_Re_Ra,H_Ra,H_Ra,H_No,H_Ra,H_Ra
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_G_Ra,H_Ra,H_Re_Ra,H_Ra,H_Re_G_Ra,H_Ra,H_Ra,N_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_Re_G,H_No,N_No,H_No,H_G_Ra,H_No,H_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,1,4,1,4,H_G,H_G,N_No,N_No,H_No,H_No,H_No,H_No,H_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_Re_Ra,N_No,N_No,H_No,H_No,N_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_G,H_Re_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,H_G,H_G_Ra,H_G,H_G,H_No,H_No,H_G,H_No,H_No,H_No,H_No
1,4,1,4,1,4,H_Ra,H_Ra,N_No,N_No,H_No,H_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_No,H_Re_G,N_No,N_No,H_No,H_No,N_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_No,H_Ra,N_No,N_No,H_No,H_No,H_No,H_G,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_G,H_Re_G,N_No,N_No,N_No,H_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_No,H_No,N_No,H_No,H_No,N_No,N_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,H_G,H_G_Ra,N_No,N_No,N_No,H_No,N_No,H_No,H_No,H_No,H_No
1,4,1,4,1,4,H_Ra,H_Re_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,H_No,H_No,H_No
1,4,1,4,1,4,H_No,H_G_Ra,H_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
1,4,1,4,1,4,H_Ra,H_Re_G_Ra,H_No,N_No,H_No,H_G,H_No,H_No,H_No,H_No,H_No
2,4,1,4,1,4,H_No,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_Ra,H_Re_G_Ra,H_No,H_No,H_No,H_No,H_No,H_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,1,4,1,4,H_Ra,H_Re_G,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
2,4,2,4,2,4,H_No,H_No,N_No,N_No,H_No,H_No,N_No,H_No,N_No,N_No,N_No
1,4,1,4,1,4,H_G,H_Ra,H_No,H_Ra,H_No,H_No,H_No,H_No,H_No,H_No,H_No
1,4,2,4,2,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,H_Ra,H_Ra,N_No,N_No,H_No,H_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_Ra,H_Ra,H_Ra,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,1,4,1,4,H_No,H_G,H_No,H_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,H_No,H_Re,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,H_No,H_No,N_No,N_No,H_No,N_No,H_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,N_No,N_No,N_No,H_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_Ra,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_Ra,H_Re,H_No,H_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_Re_G_Ra,N_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
1,4,2,4,2,4,H_G,H_G_Ra,H_G,N_No,H_No,H_No,H_G,H_No,H_No,N_No,N_No
1,2,2,4,2,4,H_No,H_G,H_No,H_No,H_No,H_No,H_No,H_No,H_G,N_No,N_No
2,4,1,4,1,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,1,2,1,2,H_No,N_No,H_No,N_No,N_No,H_No,N_No,H_No,H_No,H_G,H_G
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
1,4,2,4,2,4,H_Ra,H_Ra,N_No,N_No,N_No,H_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_Ra,H_Re,H_No,N_No,N_No,H_No,N_No,N_No,N_No,H_No,H_No
2,4,1,4,1,4,H_G,H_G,N_No,N_No,H_No,N_No,N_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,H_Ra,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No
1,4,2,4,2,4,H_Ra,H_Re_G,H_No,H_No,H_No,H_No,H_No,H_No,H_No,N_No,N_No
2,4,2,4,2,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,1,4,1,4,H_Re,H_Re_G,H_Re,H_Re_G,H_No,H_No,H_Ra,H_No,H_No,H_No,H_No
2,4,2,4,2,4,H_Re,H_Re,H_Re,H_Re,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_G,H_G_Ra,N_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
2,4,2,4,2,4,H_No,H_G,H_No,H_No,H_No,H_No,H_No,N_No,N_No,N_No,N_No
2,4,1,4,1,4,H_Ra,H_G_Ra,H_No,N_No,H_No,H_No,H_No,H_No,N_No,H_No,H_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,H_No,H_Re_G,N_No,N_No,H_No,H_No,N_No,H_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
2,4,2,4,2,4,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
1,4,2,4,2,4,H_No,H_No,H_No,H_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,2,4,2,4,N_No,H_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,N_No,N_No
1,4,1,4,1,4,H_No,H_G,N_No,N_No,H_No,H_No,N_No,N_No,H_No,H_No,H_No
2,4,1,4,1,4,H_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,H_No,H_No
1,4,1,4,1,4,H_Ra,H_G_Ra,H_No,N_No,N_No,H_No,H_No,H_No,H_No,H_No,H_No
2,4,2,4,2,4,H_No,H_Ra,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No,N_No
